variable_name,mean_decrease_gini
vsan_2015_bookings_amount,0.2659
tot_prod13_webinar_page_views,0.2656
tot_prod2_blog_page_views,0.2654
ftr_dummy_db_industry4,0.2646
prodN_license_2015_bookings_amount,0.2640
tot_prod5_downloads,0.2626
prodB_2014_bookings_amount,0.2610
tot_prod2_gs_page_views,0.2605
prodT_booking_pct,0.2590
tot_prod13_overview_page_views,0.2573
flag_prodE_customer,0.2556
prodQ_views,0.2478
ftr_dummy_gu_emp_segment_desc1,0.2429
paid_social_views,0.2425
ftr_dummy_gu_emp_segment_desc3,0.2389
prodT_license_booking_pct,0.2389
flag_prodJ_customer,0.2388
tot_prod15_downloads,0.2363
flag_idc_vertical_healthcare,0.2346
contact_support_events,0.2284
prodM_2013_bookings_amount,0.2243
ftr_dummy_db_industry26,0.2229
flag_duns_vertical_healthcare,0.2225
flag_prodN_customer,0.2201
vsan_2014_bookings_amount,0.2170
tot_winphone_page_views,0.2108
ftr_dummy_gu_emp_segment_desc5,0.2086
ftr_dummy_db_industry5,0.2062
flag_prodM_customer,0.2028
ftr_dummy_db_industry8,0.2014
tot_prod7_features_page_views,0.1995
ftr_dummy_db_industry13,0.1987
tot_prod12_blog_page_views,0.1956
prodL_2013_bookings_amount,0.1942
ftr_dummy_highest_prodA_edition2,0.1913
flag_prodB_customer,0.1851
flag_prodC_customer,0.1836
flag_duns_vertical_government,0.1712
ftr_dummy_db_industry19,0.1701
vsan_license_2014_bookings_amount,0.1687
digital_prodN_webinar_responses,0.1641
tot_prod11_evals_page_views,0.1640
flag_prodU_customer,0.1638
vsan_license_2015_bookings_amount,0.1621
flag_prodD_customer,0.1593
flag_prodL_customer,0.1560
flag_prodK_prodW_svcs_customer,0.1508
tot_prod5_resources_page_views,0.1491
flag_prodI_customer,0.1470
tot_prod6_downloads,0.1435
ftr_dummy_db_industry21,0.1428
flag_prodK_customer,0.1332
ftr_dummy_idc_verticals4,0.1322
tot_prod1_downloads,0.1301
ela_flag,0.1296
tot_prod10_overview_page_views,0.1256
ftr_dummy_idc_verticals1,0.1252
ftr_dummy_db_industry23,0.1223
tot_prod8_blog_page_views,0.1214
num_prod21_orders,0.1180
tot_opera_browser_page_views,0.1144
tot_prod16_downloads,0.1140
flag_prodO_customer,0.1104
tot_prod5_features_page_views,0.1041
tot_prod17_blog_page_views,0.1014
ftr_dummy_highest_prodA_edition5,0.0985
ftr_dummy_idc_verticals13,0.0944
ftr_dummy_db_industry30,0.0919
flag_prodT_customer,0.0866
flag_prodN_license_customer,0.0824
prodN_license_2014_bookings_amount,0.0821
num_func_area_clevel_contacts,0.0777
ftr_dummy_db_industry6,0.0650
ftr_dummy_idc_verticals6,0.0616
prodN_2013_bookings_amount,0.0586
ftr_dummy_db_industry2,0.0584
ftr_dummy_db_industry9,0.0575
digital_prodN_paid_search_responses,0.0566
flag_prodT_license_customer,0.0492
tot_blackberry_page_views,0.0469
tot_prod4_blog_page_views,0.0448
tot_prod9_features_page_views,0.0440
tot_prod16_blog_page_views,0.0439
flag_prodK_avail_svcs_customer,0.0317
tot_prod7_evals_page_views,0.0297
tot_prod5_webinar_page_views,0.0282
flag_prodK_network_svcs_customer,0.0277
tot_prod14_webinar_page_views,0.0246
ftr_dummy_db_industry1,0.0243
prodN_whitepaper_downloads,0.0243
tot_prod7_webinar_page_views,0.0179
tot_prod15_features_page_views,0.0128
tot_prod9_resources_page_views,0.0117
tot_prod3_evals_page_views,0.0107
tot_prod1_blog_page_views,0.0101
display_views,0.0073
ftr_dummy_db_industry14,0.0060
tot_prod1_overview_page_views,0.0034
survey_display_events,0.0032
ftr_dummy_db_industry16,0.0027
tot_msn_se_page_views,0.0027
tot_excite_se_page_views,0.0027
ftr_dummy_db_industry18,0.0000
internal_campaign_events,0.0000
find_retailer_events,0.0000
survey_submit_events,0.0000
tot_prod15_resources_page_views,0.0000
tot_prod11_webinar_page_views,0.0000
affliate_views,0.0000
ftr_dummy_db_industry22,0.0000
